group                                                                                                                                base                                   new
-----                                                                                                                                ----                                   ---
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=1024,  B=32768, L=2, B_small=2, K=15        1.00     62.7±0.53ms        ? ?/sec    1.00     62.7±0.53ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=1024,  B=32768, L=2, B_small=32, K=3        1.00     62.3±0.44ms        ? ?/sec    1.00     62.3±0.44ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=1024,  B=32768, L=2, B_small=8, K=5         1.00     63.0±0.66ms        ? ?/sec    1.00     63.0±0.66ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=2048,  B=1024, L=3, B_small=2, K=10         1.00    228.7±1.11ms        ? ?/sec    1.00    228.7±1.11ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=2048,  B=16384, L=3, B_small=2, K=14        1.00    228.9±1.22ms        ? ?/sec    1.00    228.9±1.22ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=2048,  B=16384, L=3, B_small=4, K=7         1.00    229.0±0.79ms        ? ?/sec    1.00    229.0±0.79ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=2048,  B=2048, L=3, B_small=2, K=11         1.00    229.0±0.73ms        ? ?/sec    1.00    229.0±0.73ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=2048,  B=4096, L=3, B_small=16, K=3         1.00    230.1±1.33ms        ? ?/sec    1.00    230.1±1.33ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=2048,  B=4096, L=3, B_small=2, K=12         1.00    229.8±1.60ms        ? ?/sec    1.00    229.8±1.60ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=2048,  B=4096, L=3, B_small=4, K=6          1.00    228.9±1.08ms        ? ?/sec    1.00    228.9±1.08ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=2048,  B=4096, L=3, B_small=64, K=2         1.00    229.2±0.86ms        ? ?/sec    1.00    229.2±0.86ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=2048,  B=4096, L=3, B_small=8, K=4          1.00    229.2±1.39ms        ? ?/sec    1.00    229.2±1.39ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=2048,  B=8192, L=3, B_small=2, K=13         1.00    229.1±1.42ms        ? ?/sec    1.00    229.1±1.42ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=4096,  B=1024, L=3, B_small=2, K=10         1.00    449.7±1.95ms        ? ?/sec    1.00    449.7±1.95ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=4096,  B=16384, L=3, B_small=2, K=14        1.00    448.7±4.46ms        ? ?/sec    1.00    448.7±4.46ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=4096,  B=16384, L=3, B_small=4, K=7         1.00    447.5±1.13ms        ? ?/sec    1.00    447.5±1.13ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=4096,  B=2048, L=3, B_small=2, K=11         1.00    448.8±1.99ms        ? ?/sec    1.00    448.8±1.99ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=4096,  B=4096, L=3, B_small=16, K=3         1.00    448.9±0.86ms        ? ?/sec    1.00    448.9±0.86ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=4096,  B=4096, L=3, B_small=2, K=12         1.00    447.4±1.87ms        ? ?/sec    1.00    447.4±1.87ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=4096,  B=4096, L=3, B_small=4, K=6          1.00    447.3±2.27ms        ? ?/sec    1.00    447.3±2.27ms        ? ?/sec
Linearization BabyBear with decompose witness/Linearization Prover/Param. Kappa=10, Cols=4096,  B=4096, L=3, B_small=64, K=2         1.00    448.1±1.91ms        ? ?/sec    1.00    448.1±1.91ms        ? ?/sec
