Kappa,|z|,B,L,B_small,K,Linearization Prover,Linearization Verifier,Decomposition Prover,Decomposition Verifier,Folding Prover,Folding Verifier
10,1024,2048,6,2,11,78.8,9.9,412.6,16.5,7500.0,19.8
10,16384,512,7,2,9,1172.8,12.9,6500.0,13.3,?,?
10,4096,1024,7,4,5,283.6,11.4,910.2,7.4,32800.0,21.1
10,4096,512,7,2,9,289.6,11.1,1607.4,13.4,26000.0,18.7
10,512,2048,6,2,11,43.5,9.5,209.7,16.1,3600.0,18.2
10,8192,512,7,2,9,564.7,11.7,3200.0,13.3,57000.0,19.5
11,1024,2048,6,2,11,78.1,10.0,424.5,17.3,?,?
11,1024,4096,6,4,6,78.1,9.9,238.8,9.4,?,?
11,16384,1024,7,4,5,1171.3,13.5,3800.0,7.7,?,?
11,16384,512,7,2,9,1176.6,12.8,6500.0,14.4,?,?
11,2048,2048,6,2,11,157.0,10.5,928.2,17.3,?,?
11,4096,2048,6,2,11,294.4,11.2,1831.3,17.6,?,?
12,1024,8192,5,2,13,78.7,10.0,481.5,22.0,?,?
12,16384,2048,6,2,11,1187.4,12.6,7500.0,18.1,?,?
12,4096,2048,6,2,11,288.7,11.3,1853.7,18.3,?,?
12,4096,4096,6,4,6,297.4,11.0,1025.1,9.9,?,?
12,512,8192,5,2,13,42.6,9.3,243.5,21.6,?,?
12,8192,2048,6,2,11,584.6,12.7,3800.0,18.3,?,?
13,1024,16384,5,4,7,79.5,9.8,263.9,12.8,?,?
13,1024,8192,5,2,13,78.4,9.8,481.1,22.5,?,?
13,16384,2048,6,2,11,1196.9,13.0,7800.0,19.2,?,?
13,16384,4096,6,4,6,1176.5,12.7,4400.0,10.3,?,?
13,2048,8192,5,2,13,157.3,10.9,1026.2,22.6,?,?
13,4096,8192,5,2,13,291.3,11.1,2000.0,22.9,?,?
13,512,16384,5,4,7,42.8,9.3,138.0,12.2,?,?
13,512,8192,5,2,13,43.5,9.1,253.1,22.9,?,?
14,1024,16384,5,4,7,78.9,9.9,272.8,13.0,?,?
14,1024,32768,5,2,15,79.3,9.9,573.5,27.5,?,?
14,1024,8192,5,2,13,79.8,9.8,497.4,23.9,?,?
14,16384,8192,5,2,13,1181.7,12.9,8600.0,23.7,?,?
14,2048,16384,5,4,7,157.8,10.7,582.0,12.8,?,?
14,2048,8192,5,2,13,157.6,10.8,1050.2,24.4,?,?
14,4096,16384,5,4,7,288.8,11.6,1151.6,13.1,?,?
14,4096,8192,5,2,13,293.9,11.6,2100.0,23.8,?,?
14,8192,8192,5,2,13,579.3,12.1,4200.0,23.8,?,?
15,1024,65536,4,4,8,43.7,9.5,228.8,15.3,?,?
15,16384,8192,5,2,13,1191.1,12.8,8600.0,25.0,?,?
15,2048,16384,5,4,7,147.3,10.5,596.9,13.3,?,?
15,2048,32768,5,2,15,149.4,10.6,1290.1,29.3,?,?
15,2048,8192,5,2,13,149.9,11.0,1087.9,25.0,?,?
15,4096,16384,5,4,7,286.9,11.3,1163.5,13.3,?,?
15,4096,8192,5,2,13,296.9,11.4,2100.0,25.0,?,?
15,512,65536,4,4,8,25.6,8.4,123.5,15.3,?,?
15,8192,16384,5,4,7,594.7,11.9,2200.0,13.4,?,?
15,8192,8192,5,2,13,579.3,12.0,4200.0,25.2,?,?
16,1024,65536,4,4,8,43.9,9.4,237.0,15.9,?,?
16,16384,16384,5,4,7,1177.5,13.0,4900.0,13.9,?,?
16,16384,8192,5,2,13,1175.5,12.8,9000.0,25.8,?,?
16,2048,65536,4,4,8,81.7,9.9,497.2,15.9,?,?
16,512,131072,4,2,17,25.7,8.4,269.2,33.7,?,?
16,512,65536,4,4,8,25.8,8.3,126.9,16.1,?,?
16,8192,16384,5,4,7,568.5,12.0,2300.0,14.0,?,?
16,8192,32768,5,2,15,574.2,12.0,5100.0,31.1,?,?
16,8192,8192,5,2,13,579.8,12.2,4500.0,25.8,?,?
6,512,128,9,2,7,91.6,10.1,285.6,7.8,4900.0,15.3
7,2048,128,9,2,7,344.0,11.8,1126.6,8.5,20700.0,17.0
7,512,256,8,4,4,45.5,9.5,90.7,4.9,3000.0,16.5
7,8192,64,11,4,3,1169.9,13.0,1699.9,3.7,89800.0,21.2
8,1024,512,7,2,9,78.4,9.8,341.2,11.9,6100.0,17.3
8,2048,256,8,4,4,157.5,10.6,377.7,5.2,13000.0,18.4
8,4096,256,8,4,4,286.1,11.4,744.4,5.3,26900.0,19.4
8,512,512,7,2,9,43.7,9.1,170.3,11.7,2900.0,16.5
8,8192,128,9,2,7,1152.3,12.8,5800.0,9.2,97900.0,18.6
9,1024,1024,7,4,5,78.0,9.9,202.0,7.0,7700.0,18.8
9,1024,512,7,2,9,78.2,9.9,369.0,12.5,6000.0,17.3
9,16384,256,8,4,4,1162.2,12.8,3000.0,5.6,115400.0,22.4
9,2048,512,7,2,9,157.8,10.5,790.7,12.6,13200.0,18.2
9,4096,512,7,2,9,293.4,11.2,1536.0,12.6,26400.0,19.0
9,8192,256,8,4,4,592.6,12.1,1544.9,5.6,54800.0,21.3
